Fire_Event,Duration,Max_Confidence,Mean_Confidence,Fire_Area_Ratio,Intensity_Std
fire_25295938,237390,21.0000,0.0210,0.0014,0.5893
fire_21998187,195550,21.0000,0.0051,0.0003,0.2982
fire_21999321,109120,21.0000,0.0042,0.0003,0.2634
fire_24104639,117824,21.0000,0.0012,0.0001,0.1576
fire_23160488,164692,21.0000,0.0032,0.0002,0.2379
fire_23572745,123690,21.0000,0.0043,0.0003,0.2756
fire_21458848,137340,21.0000,0.0017,0.0001,0.1781
fire_23036542,94688,0.0000,0.0000,0.0000,0.0000
fire_25411029,193536,21.0000,0.0172,0.0012,0.5387
fire_24103572,109920,21.0000,0.0008,0.0001,0.1158
