Channel_ID,Channel_Name,Missing_Count,Missing_Ratio,Total_Samples
0,VIIRS_I4,88308,0.0595,1483750
1,VIIRS_I5,88331,0.0595,1483750
2,VIIRS_M13,88311,0.0595,1483750
3,NDVI,273680,0.1845,1483750
4,EVI2,273680,0.1845,1483750
5,Temperature,41857,0.0282,1483750
6,Humidity,41857,0.0282,1483750
7,Wind_Direction,41857,0.0282,1483750
8,Wind_Speed,41857,0.0282,1483750
9,Precipitation,41857,0.0282,1483750
10,Surface_Pressure,41857,0.0282,1483750
11,Solar_Radiation,41857,0.0282,1483750
12,Elevation,49723,0.0335,1483750
13,Slope,49723,0.0335,1483750
14,Aspect,49229,0.0332,1483750
15,PDSI,47652,0.0321,1483750
16,Land_Cover,0,0.0000,1483750
17,Forecast_Temperature,0,0.0000,1483750
18,Forecast_Humidity,0,0.0000,1483750
19,Forecast_Wind_Direction,0,0.0000,1483750
20,Forecast_Wind_Speed,0,0.0000,1483750
21,Forecast_Precipitation,0,0.0000,1483750
22,Active_Fire_Confidence,0,0.0000,1483750
