Channel_ID,Channel_Name,Skewness,Kurtosis,Recommended_Transform,Needs_Log_Transform,Value_Range
0,VIIRS_I4,1.0687,1.4859,StandardScaler or RobustScaler,False,"[-100.00, 15770.00]"
1,VIIRS_I5,1.8529,3.6013,StandardScaler or RobustScaler,False,"[-100.00, 15946.00]"
2,VIIRS_M13,2.0117,3.6168,Log transform or Box-Cox,True,"[-100.00, 15959.00]"
3,NDVI,0.3727,-0.2369,StandardScaler or MinMaxScaler,False,"[-6502.00, 9948.00]"
4,EVI2,1.1089,2.5963,StandardScaler or RobustScaler,False,"[-1515.00, 8964.00]"
5,Temperature,5.7125,39.4088,Log transform or Box-Cox,True,"[0.00, 42.50]"
6,Humidity,1.4051,4.1529,StandardScaler or RobustScaler,False,"[0.70, 13.10]"
7,Wind_Direction,-0.5276,-0.5025,StandardScaler or MinMaxScaler,False,"[0.00, 360.00]"
8,Wind_Speed,0.0482,0.9263,StandardScaler or MinMaxScaler,False,"[250.30, 311.50]"
9,Precipitation,-0.5020,-0.0420,StandardScaler or MinMaxScaler,False,"[267.10, 320.70]"
10,Surface_Pressure,-0.5088,0.0217,StandardScaler or MinMaxScaler,False,"[0.00, 116.00]"
11,Solar_Radiation,0.1295,-0.6904,StandardScaler or MinMaxScaler,False,"[0.00, 0.01]"
12,Elevation,1.5312,2.4954,StandardScaler or RobustScaler,False,"[0.00, 47.50]"
13,Slope,0.0413,-1.1793,StandardScaler or MinMaxScaler,False,"[-0.00, 359.64]"
14,Aspect,-0.0426,-0.9047,StandardScaler or MinMaxScaler,False,"[0.00, 3785.00]"
15,PDSI,0.6388,-1.0038,StandardScaler or MinMaxScaler,False,"[-5.45, 5.94]"
16,Land_Cover,-0.3924,3.1602,StandardScaler or MinMaxScaler,False,"[1.00, 17.00]"
17,Forecast_Temperature,3.7390,18.6373,Log transform or Box-Cox,True,"[0.00, 208.88]"
18,Forecast_Humidity,1.3307,2.0856,StandardScaler or RobustScaler,False,"[0.00, 7.84]"
19,Forecast_Wind_Direction,-0.1168,-0.9880,StandardScaler or MinMaxScaler,False,"[-89.96, 89.95]"
20,Forecast_Wind_Speed,-0.2104,-0.2437,StandardScaler or MinMaxScaler,False,"[-1.64, 36.82]"
21,Forecast_Precipitation,0.2930,-0.6954,StandardScaler or MinMaxScaler,False,"[0.00, 0.01]"
22,Active_Fire_Confidence,51.3287,2764.1857,Log transform or Box-Cox,True,"[0.00, 21.00]"
