Channel_ID,Channel_Name,Category,Proportion
12,Elevation,Sea_Level,1.0000
12,Elevation,Low_Hills,0.0000
12,Elevation,Hills,0.0000
12,Elevation,Mountains,0.0000
12,Elevation,High_Mountains,0.0000
13,Slope,Flat,0.0163
13,Slope,Gentle,0.0055
13,Slope,Moderate,0.0213
13,Slope,Steep,0.0359
13,Slope,Very_Steep,0.9210
14,Aspect,North,0.9604
14,Aspect,Northeast,0.0035
14,Aspect,East,0.0042
14,Aspect,Southeast,0.0056
14,Aspect,South,0.0057
14,Aspect,Southwest,0.0063
14,Aspect,West,0.0062
14,Aspect,Northwest,0.0080
