[19:58:41] Processing Year: 2018 | Memory: 0.2GB
[19:58:54] Generating comprehensive report for (2018) | Memory: 0.2GB
[20:00:06] Processing Year: 2018 | Memory: 0.2GB
[20:00:19] Generating comprehensive report for (2018) | Memory: 0.2GB
[20:03:11] Processing Year: 2018 | Memory: 0.2GB
[20:03:14] Warning: Metadata scanning failed for all files in 2018. Skipping analysis. | Memory: 0.2GB
[20:06:50] Processing Year: 2018 | Memory: 0.2GB
[20:07:27] Processing Year: 2018 | Memory: 0.2GB
[20:08:51] Processing Year: 2018 | Memory: 0.2GB
[20:10:44] Processing Year: 2018 | Memory: 0.2GB
[20:15:00] Processing Year: 2018 | 10 files | Memory: 0.2GB
[20:15:03] Warning: Metadata scanning failed for all files in 2018. Skipping analysis. | Memory: 0.2GB
[20:18:31] Processing Year: 2018 | 10 files | Memory: 0.2GB
[20:18:34] Warning: Metadata scanning failed for all files in 2018. Skipping analysis. | Memory: 0.2GB
[20:20:18] Processing Year: 2018 | Memory: 0.2GB
[20:22:09] Processing Year: 2018 | Memory: 0.2GB
[20:22:19] Generating comprehensive report for (2018) | Memory: 0.2GB
[20:22:19] Generating Literature Comparison Table... | Memory: 0.3GB
[20:22:19] Generating Grouped Boxplots with T-Tests... | Memory: 0.3GB
[20:22:19] Generating Feature Importance Ranking... | Memory: 0.3GB
[20:22:30] Generating PCA Plot... | Memory: 0.3GB
[20:22:31] Comprehensive report generated for (2018) | Memory: 0.3GB
