Feature,MutualInformation
Landcover,0.017668389288503117
ERC,0.0014838096306202253
Wind_Speed,0.0012138723778456484
Forecast_Wind_Dir,0.0004127179907467138
Wind_Direction,0.0003510763681296991
Max_Temp_K,0.00032631746809042017
Forecast_Wind_Speed,0.0003248227986869523
VIIRS_M11,0.0003071449339622223
Forecast_Temp_C,0.0002901884180567249
Min_Temp_K,0.0002731463954770419
Forecast_Spec_Hum,0.0002695445330297419
Spec_Hum,0.00021246893806359246
VIIRS_I2,0.0002056490335203831
Elevation,0.00019685783860268202
PDSI,0.00016746963027103323
NDVI,0.0001471348865081934
EVI2,0.00013735108054235834
VIIRS_I1,0.00013161003869399668
Aspect,9.316312344287425e-05
Forecast_Precip,6.37674859026438e-05
Total_Precip,4.2225136846041345e-05
Slope,0.0
