feature,r_pointbiserial,p_value
PDSI,0.022284389463471343,1.8867347817311636e-25
NDVI,0.0142766560987945,2.4057706917352298e-11
ERC,0.014048262421973077,4.959673520414158e-11
VIIRS_M11,0.007686423238443461,0.0003234163790826427
Wind_Speed,0.006303479778700581,0.0031899481203258835
Min_Temp_K,0.005582811742812517,0.009009971500508814
VIIRS_I1,0.002507562210640151,0.24077712877856444
Aspect,0.0022151810155017363,0.30007654845003684
Wind_Direction,0.001029261692196368,0.6301670962199917
Forecast_Temp_C,0.0007916139171785916,0.711144595770267
Max_Temp_K,3.8119535799981835e-05,0.9857725356796956
Slope,-2.517942349527136e-06,0.9990601715225521
EVI2,-0.0002692400133265306,0.8997705171997319
Forecast_Wind_Dir,-0.0013179173364567336,0.5375475858725965
Forecast_Precip,-0.003439236338751813,0.10764055067610571
Forecast_Spec_Hum,-0.005097335498767562,0.017099395383855735
Total_Precip,-0.0056986016192742284,0.007679539173881385
Spec_Hum,-0.009482161612301643,9.169612342990785e-06
VIIRS_I2,-0.010725238006668797,5.236424034497326e-07
Forecast_Wind_Speed,-0.0111364937026979,1.8899850382932404e-07
Elevation,-0.012150145642894895,1.315168103364572e-08
