Feature,MutualInformation
Landcover,0.014351728330547209
ERC,0.0011196139887088563
Wind_Speed,0.0010842194553376538
Max_Temp_K,0.0004088693112597186
Forecast_Temp_C,0.0004021320154079522
VIIRS_M11,0.0003665870360001211
PDSI,0.0002572092954282734
Min_Temp_K,0.0002478959336408293
Forecast_Spec_Hum,0.0002411595663071031
Wind_Direction,0.00023047264645770227
EVI2,0.000230089090650476
Spec_Hum,0.00017372617037436644
Aspect,0.00016727948157047035
VIIRS_I1,0.00015652427004120284
VIIRS_I2,0.00014229223020112425
Elevation,0.0001338232771483927
Forecast_Wind_Speed,0.00010774481530084756
Forecast_Precip,0.00010568754001405445
NDVI,9.866475805153652e-05
Total_Precip,9.272823974204591e-05
Slope,8.546162220102183e-05
Forecast_Wind_Dir,2.1964711787392233e-05
