,count,mean,std,min,25%,50%,75%,max
VIIRS_M11,199104.0,2093.780517578125,1223.0633544921875,-38.0,1257.0,1860.0,2702.0,10951.0
VIIRS_I2,198968.0,3043.811279296875,1889.9969482421875,-100.0,1862.0,2413.0,3430.0,13668.0
VIIRS_I1,198968.0,2261.815185546875,2162.34814453125,-100.0,882.0,1402.0,2663.0,13781.0
NDVI,200000.0,2950.991943359375,1770.9453125,-5970.0,1859.0,2446.0,3992.0,9808.0
EVI2,200000.0,1510.208984375,923.09033203125,-1399.0,1000.0,1286.0,1851.0,8522.0
Total_Precip,200000.0,0.3706149756908417,1.584925651550293,0.0,0.0,0.0,0.0,25.399999618530273
Wind_Speed,200000.0,4.2626214027404785,1.8626717329025269,0.699999988079071,2.9000000953674316,3.9000000953674316,5.199999809265137,13.0
Wind_Direction,200000.0,247.71890258789062,86.4278564453125,0.0,200.0,266.0,315.0,360.0
Min_Temp_K,200000.0,271.3714294433594,6.796072959899902,244.3000030517578,266.79998779296875,271.3999938964844,276.29998779296875,290.0
Max_Temp_K,200000.0,287.0169982910156,8.672688484191895,258.1000061035156,281.1000061035156,286.70001220703125,292.70001220703125,309.3999938964844
ERC,200000.0,41.10572814941406,20.64750099182129,0.0,27.0,35.0,47.0,92.0
Spec_Hum,200000.0,0.003143483540043235,0.0010438712779432535,0.0006000000284984708,0.0023900000378489494,0.003000000026077032,0.0036899999249726534,0.006479999981820583
PDSI,200000.0,4.281528472900391,5.127199172973633,0.0,0.7234048545360565,2.1447147130966187,6.117830395698547,39.444725036621094
Slope,200000.0,164.61447143554688,100.13410949707031,-0.0,82.77015686035156,155.6280288696289,249.47642135620117,359.80426025390625
Aspect,200000.0,1584.81787109375,833.7967529296875,10.0,1336.0,1675.0,2088.0,4221.0
Elevation,200000.0,-0.347149521112442,1.3358129262924194,-2.640000104904175,-1.4900000095367432,-0.8399999737739563,0.8799999952316284,3.4000000953674316
Landcover,200000.0,9.853320121765137,1.660188913345337,1.0,10.0,10.0,10.0,17.0
Forecast_Precip,200000.0,6.332844257354736,7.379674911499023,0.0,0.75,3.8125,9.1875,56.3125
Forecast_Wind_Speed,200000.0,1.9767539501190186,1.1164807081222534,0.04670633375644684,1.1229795217514038,1.8215045928955078,2.6557328701019287,9.372053146362305
Forecast_Wind_Dir,200000.0,-9.976144790649414,46.18996047973633,-89.78276824951172,-54.47639083862305,-5.13616418838501,24.79033851623535,89.9728012084961
Forecast_Temp_C,200000.0,5.752378940582275,7.218949794769287,-13.984883308410645,0.9372889995574951,4.089112758636475,10.239852905273438,22.84697914123535
Forecast_Spec_Hum,200000.0,0.003513690084218979,0.0008515443769283593,0.0015555561985820532,0.0028751674108207226,0.0034178835339844227,0.004232853185385466,0.006070367526262999
Active_Fire,200000.0,0.0034099998883903027,0.2616629898548126,0.0,0.0,0.0,0.0,22.0
