,count,missing,missing_rate,mean,std,min,max,value_counts
VIIRS_M11,293503178,5802355,0.019386059929603773,1943.3510874216156,1147.1523560902303,-100.0,16000.0,{}
VIIRS_I2,293504267,5801266,0.0193824215070558,2926.783501924352,1606.471397966475,-100.0,15998.0,{}
VIIRS_I1,293504625,5800908,0.019381225404877498,1771.8140560681113,1866.6190824804346,-100.0,15987.0,{}
NDVI,293698130,5607403,0.01873471213109849,4248.363503519753,2272.192219688122,-9951.0,9995.0,{}
EVI2,293697945,5607588,0.01873533022859287,2238.950977746882,1163.6276254982097,-5163.0,9991.0,{}
Total_Precip,296164535,3140998,0.010494286452098432,0.41368654766438007,2.133655887353004,0.0,145.3000030517578,{}
Wind_Speed,296164535,3140998,0.010494286452098432,3.438755024719621,1.4229050157697931,0.4000000059604645,14.699999809265137,{}
Wind_Direction,296164535,3140998,0.010494286452098432,221.85673149555197,65.70856527429692,0.0,357.0,{}
Min_Temp_K,296164535,3140998,0.010494286452098432,280.8488983193075,29.331217829719876,245.6999969482422,306.0,{}
Max_Temp_K,296164535,3140998,0.010494286452098432,299.79351497977297,0.0,254.6999969482422,323.20001220703125,{}
ERC,296164535,3140998,0.010494286452098432,69.6575109102783,18.162865579632268,0.0,117.0,{}
Spec_Hum,296164535,3140998,0.010494286452098432,0.005327826135645897,0.0020189978937481066,0.0004799999878741801,0.02053000032901764,{}
PDSI,297746972,1558561,0.005207257561790546,7.022344308047237,6.904453582829805,0.0,67.07324981689453,{}
Slope,297746972,1558561,0.005207257561790546,174.85677254847113,103.034272339152,-0.0,359.8907165527344,{}
Aspect,297783302,1522231,0.005085876578165362,1581.405056969917,795.0108810038895,-45.0,4350.0,{}
Elevation,295013385,4292148,0.014340356347505277,-1.944259646307817,1.9214776146781878,-8.569999694824219,7.909999847412109,{}
Landcover,299305533,0,0.0,8.763507639533012,3.115772711948231,1.0,17.0,"{1: 35147855, 6: 1418299, 7: 10927953, 8: 31003068, 9: 28066965, 10: 162740262, 11: 562846, 12: 16291157, 13: 2910510, 14: 133930, 16: 4723791, 17: 3304597, 2: 1311373, 4: 76355, 5: 471503, 15: 215069}"
Forecast_Precip,299305533,0,0.0,18.264618887783808,47.242497041390756,0.0,1144.8125,{}
Forecast_Wind_Speed,299305533,0,0.0,1.5861324834746706,1.1013434145015486,0.004279064014554024,10.072768211364746,{}
Forecast_Wind_Dir,299305533,0,0.0,3.8812795880138307,46.42257923383982,-89.98978424072266,89.9974136352539,{}
Forecast_Temp_C,299305533,0,0.0,18.26665343305314,6.677558076204616,-17.035289764404297,37.204463958740234,{}
Forecast_Spec_Hum,299305533,0,0.0,0.0054731215126372955,0.0017745230179922599,0.0011652868706732988,0.014078577049076557,{}
Active_Fire,299305533,0,0.0,0.018990564400959472,0.5654293332419421,0.0,22.0,"{0: 298921351, 8: 18321, 9: 74718, 10: 90418, 20: 72132, 19: 20314, 21: 81559, 7: 333, 18: 570, 11: 14649, 22: 11168}"
total_samples,299305533,299305533,299305533,299305533,299305533,299305533,299305533,299305533
