,count,missing,missing_rate,mean,std,min,max,value_counts
VIIRS_M11,110193870,4834553,0.04202920351259619,2000.9408514647866,1106.712532621613,-100.0,15935.0,{}
VIIRS_I2,110193693,4834730,0.04203074226271884,2990.062336289973,1714.3974636432692,-100.0,15969.0,{}
VIIRS_I1,110193945,4834478,0.04202855149983235,1886.8517458377592,1948.01759438376,-100.0,15978.0,{}
NDVI,111338578,3689845,0.03207768048771737,4021.9826051667374,2051.5121586143737,-9780.0,9994.0,{}
EVI2,111338467,3689956,0.032078645466607845,2103.2622995249253,1026.3965641885968,-5172.0,9998.0,{}
Total_Precip,113877858,1150565,0.010002440874982699,0.6366995493323948,2.1984746916060742,0.0,45.29999923706055,{}
Wind_Speed,113877858,1150565,0.010002440874982699,3.3130853936504496,1.2989771281943348,0.4000000059604645,13.300000190734863,{}
Wind_Direction,113877858,1150565,0.010002440874982699,210.30714069103757,67.00183035376983,0.0,356.0,{}
Min_Temp_K,113877858,1150565,0.010002440874982699,284.4188080882238,0.0,243.1999969482422,311.5,{}
Max_Temp_K,113877858,1150565,0.010002440874982699,300.5621332989948,0.0,260.3999938964844,320.70001220703125,{}
ERC,113877858,1150565,0.010002440874982699,64.13600434072092,21.10856132828604,0.0,116.0,{}
Spec_Hum,113877858,1150565,0.010002440874982699,0.005881241799488882,0.002318307118692292,0.00018000000272877514,0.01640000008046627,{}
PDSI,113339620,1688803,0.014681614821408097,5.942744877078289,6.30702566671336,0.0,67.07324981689453,{}
Slope,113339620,1688803,0.014681614821408097,174.34579138345444,102.75292201512165,-0.0,359.8907165527344,{}
Aspect,113369763,1658660,0.014419566544870392,1409.6119392258058,699.3679389858083,-17.0,4344.0,{}
Elevation,113501679,1526744,0.013272754334813406,0.9656468141459167,1.7753419902744467,-5.050000190734863,9.65999984741211,{}
Landcover,115028423,0,0.0,9.299799911192384,2.520386286999572,1.0,17.0,"{8: 8358544, 9: 14484963, 10: 56769212, 11: 190864, 12: 6803595, 13: 2471346, 15: 199934, 16: 1974353, 17: 2599128, 1: 5627387, 2: 609256, 5: 416382, 6: 952589, 7: 13494493, 14: 66700, 4: 9677}"
Forecast_Precip,115028423,0,0.0,19.033023061504547,30.566684367719276,0.0,473.875,{}
Forecast_Wind_Speed,115028423,0,0.0,1.6135344522631594,1.0118644273727158,0.0043708560988307,9.121054649353027,{}
Forecast_Wind_Dir,115028423,0,0.0,14.222668574161883,43.52802023076926,-89.98863983154297,89.99485778808594,{}
Forecast_Temp_C,115028423,0,0.0,18.76437531131436,7.703976287686608,-10.122316360473633,38.3087043762207,{}
Forecast_Spec_Hum,115028423,0,0.0,0.005838533668818885,0.0022436947197659253,0.0009105954086408019,0.013559453189373016,{}
Active_Fire,115028423,0,0.0,0.005989832617282774,0.3209219692331071,0.0,22.0,"{0: 114982923, 19: 3356, 20: 10418, 21: 9423, 8: 3179, 9: 10770, 10: 6251, 7: 52, 18: 157, 11: 976, 22: 918}"
total_samples,115028423,115028423,115028423,115028423,115028423,115028423,115028423,115028423
